# 337
# time lon lat ele hdop vdop speed direction journey journey3
1487262591.000000 113.89674850 22.95116079 52.58670807 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1487262592.000000 113.89673983 22.95114346 52.33094788 0.00000000 0.00000000 0.00000000 0.00000000 2.11595968 2.13136075
1487262593.000000 113.89673044 22.95112157 51.93389130 0.00000000 0.00000000 0.00000000 0.00000000 4.72428458 4.76973387
1487262594.000000 113.89672077 22.95109803 51.44847870 0.00000000 0.00000000 0.00000000 0.00000000 7.51256436 7.59995109
1487262595.000000 113.89671098 22.95107381 50.90295792 0.00000000 0.00000000 0.00000000 0.00000000 10.37691342 10.51578518
1487262596.000000 113.89670160 22.95104975 50.36948776 0.00000000 0.00000000 0.00000000 0.00000000 13.21036691 13.39902105
1487262597.000000 113.89669307 22.95102516 49.85665131 0.00000000 0.00000000 0.00000000 0.00000000 16.06997458 16.30425035
1487262598.000000 113.89668488 22.95100085 49.28324509 0.00000000 0.00000000 0.00000000 0.00000000 18.89072906 19.18269621
1487262599.000000 113.89667719 22.95097578 48.80156708 0.00000000 0.00000000 0.00000000 0.00000000 21.77640157 22.10829350
1487262600.000000 113.89666970 22.95095016 48.32336044 0.00000000 0.00000000 0.00000000 0.00000000 24.71567351 25.08621242
1487262601.000000 113.89666431 22.95092140 47.80396652 0.00000000 0.00000000 0.00000000 0.00000000 27.94850867 28.36050521
1487262602.000000 113.89666034 22.95088913 47.32748413 0.00000000 0.00000000 0.00000000 0.00000000 31.54601435 31.98942826
1487262603.000000 113.89665701 22.95085493 46.86206055 0.00000000 0.00000000 0.00000000 0.00000000 35.34815402 35.81994849
1487262604.000000 113.89665461 22.95082210 46.41725540 0.00000000 0.00000000 0.00000000 0.00000000 38.99178293 39.49062734
1487262605.000000 113.89665297 22.95079093 45.98159790 0.00000000 0.00000000 0.00000000 0.00000000 42.44818119 42.97437337
1487262606.000000 113.89665160 22.95076074 45.55469513 0.00000000 0.00000000 0.00000000 0.00000000 45.79434130 46.34765567
1487262607.000000 113.89664873 22.95073216 45.15282059 0.00000000 0.00000000 0.00000000 0.00000000 48.97290323 49.55152194
1487262608.000000 113.89664475 22.95070227 45.15649033 0.00000000 0.00000000 0.00000000 0.00000000 52.30891468 52.88753541
1487262609.000000 113.89663855 22.95067331 44.78277206 0.00000000 0.00000000 0.00000000 0.00000000 55.57849100 56.17840074
1487262610.000000 113.89663399 22.95064327 44.80083084 0.00000000 0.00000000 0.00000000 0.00000000 58.93778349 59.53774177
1487262611.000000 113.89662314 22.95061549 44.46681976 0.00000000 0.00000000 0.00000000 0.00000000 62.20870394 62.82567182
1487262612.000000 113.89660581 22.95058924 44.15871811 0.00000000 0.00000000 0.00000000 0.00000000 65.61558090 66.24645203
1487262613.000000 113.89658380 22.95056491 43.86536789 0.00000000 0.00000000 0.00000000 0.00000000 69.13143142 69.77451938
1487262614.000000 113.89655857 22.95054233 43.58698654 0.00000000 0.00000000 0.00000000 0.00000000 72.72903508 73.38287749
1487262615.000000 113.89653073 22.95052186 43.31805038 0.00000000 0.00000000 0.00000000 0.00000000 76.37525852 77.03900551
1487262616.000000 113.89650295 22.95050298 43.09578323 0.00000000 0.00000000 0.00000000 0.00000000 79.90878663 80.57951728
1487262617.000000 113.89647827 22.95048448 42.91072464 0.00000000 0.00000000 0.00000000 0.00000000 83.16545937 83.84144370
1487262618.000000 113.89645783 22.95046888 42.76291656 0.00000000 0.00000000 0.00000000 0.00000000 85.88178894 86.56179176
1487262619.000000 113.89644351 22.95045789 42.65164185 0.00000000 0.00000000 0.00000000 0.00000000 87.79013676 88.47338102
1487262620.000000 113.89643037 22.95044799 43.73677063 0.00000000 0.00000000 0.00000000 0.00000000 89.52670848 90.52110800
1487262621.000000 113.89641835 22.95043971 44.20616150 0.00000000 0.00000000 0.00000000 0.00000000 91.06361188 92.12809270
1487262621.000000 113.89641835 22.95043971 44.20616150 0.00000000 0.00000000 0.00000000 0.00000000 91.06361188 92.12809270
1487262622.000000 113.89640829 22.95043272 44.44592667 0.00000000 0.00000000 0.00000000 0.00000000 92.35313608 93.43971765
1487262622.000000 113.89640829 22.95043272 44.44592667 0.00000000 0.00000000 0.00000000 0.00000000 92.35313608 93.43971765
1487262622.000000 113.89640829 22.95043272 44.44592667 0.00000000 0.00000000 0.00000000 0.00000000 92.35313608 93.43971765
1487262623.000000 113.89640287 22.95042875 44.60626602 0.00000000 0.00000000 0.00000000 0.00000000 93.06197443 94.16646418
1487262623.000000 113.89640287 22.95042875 44.60626602 0.00000000 0.00000000 0.00000000 0.00000000 93.06197443 94.16646418
1487262624.000000 113.89640220 22.95042704 44.77062607 0.00000000 0.00000000 0.00000000 0.00000000 93.26361867 94.42660765
1487262624.000000 113.89640220 22.95042704 44.77062607 0.00000000 0.00000000 0.00000000 0.00000000 93.26361867 94.42660765
1487262626.000000 113.89638688 22.95041463 44.75840759 0.00000000 0.00000000 0.00000000 0.00000000 95.35063365 96.51365839
1487262626.000000 113.89638688 22.95041463 44.75840759 0.00000000 0.00000000 0.00000000 0.00000000 95.35063365 96.51365839
1487262626.000000 113.89638688 22.95041463 44.75840759 0.00000000 0.00000000 0.00000000 0.00000000 95.35063365 96.51365839
1487262626.000000 113.89638688 22.95041463 44.75840759 0.00000000 0.00000000 0.00000000 0.00000000 95.35063365 96.51365839
1487262626.000000 113.89638688 22.95041463 44.75840759 0.00000000 0.00000000 0.00000000 0.00000000 95.35063365 96.51365839
1487262626.000000 113.89638688 22.95041463 44.75840759 0.00000000 0.00000000 0.00000000 0.00000000 95.35063365 96.51365839
1487262626.000000 113.89638688 22.95041463 44.75840759 0.00000000 0.00000000 0.00000000 0.00000000 95.35063365 96.51365839
1487262629.000000 113.89636427 22.95039633 44.61997986 0.00000000 0.00000000 0.00000000 0.00000000 98.43103288 99.59716641
1487262629.000000 113.89636427 22.95039633 44.61997986 0.00000000 0.00000000 0.00000000 0.00000000 98.43103288 99.59716641
1487262629.000000 113.89636427 22.95039633 44.61997986 0.00000000 0.00000000 0.00000000 0.00000000 98.43103288 99.59716641
1487262631.000000 113.89638230 22.95040011 44.42487717 0.00000000 0.00000000 0.00000000 0.00000000 100.32685800 101.50300427
1487262633.000000 113.89639240 22.95040095 44.18195343 0.00000000 0.00000000 0.00000000 0.00000000 101.36684537 102.57098632
1487262640.000000 113.89639605 22.95040495 43.33039093 0.00000000 0.00000000 0.00000000 0.00000000 101.94810184 103.60201385
1487262648.000000 113.89640000 22.95041525 45.54941177 0.00000000 0.00000000 0.00000000 0.00000000 103.15774589 106.12932314
1487262653.000000 113.89641036 22.95038285 45.29676437 0.00000000 0.00000000 0.00000000 0.00000000 106.90000673 109.88010265
1487262654.000000 113.89641385 22.95037300 45.20826721 0.00000000 0.00000000 0.00000000 0.00000000 108.04720351 111.03070780
1487262655.000000 113.89641667 22.95036485 45.14091110 0.00000000 0.00000000 0.00000000 0.00000000 108.99585725 111.98174973
1487262656.000000 113.89643099 22.95034118 45.06963730 0.00000000 0.00000000 0.00000000 0.00000000 111.99941464 114.98615265
1487262657.000000 113.89644815 22.95031945 44.99953461 0.00000000 0.00000000 0.00000000 0.00000000 114.98178560 117.96934741
1487262658.000000 113.89646528 22.95030033 44.93305206 0.00000000 0.00000000 0.00000000 0.00000000 117.73318736 120.72155227
1487262659.000000 113.89648625 22.95029017 44.89456558 0.00000000 0.00000000 0.00000000 0.00000000 120.16055353 123.14922353
