Time, BT20, BT20, Pol, BLE2
02/23/2017 10:39:57,0,0,122,0
02/23/2017 10:39:58,0,0,122,0
02/23/2017 10:39:59,0,0,122,0
02/23/2017 10:40:00,0,0,122,0
02/23/2017 10:40:01,0,0,122,0
02/23/2017 10:40:02,0,0,123,0
02/23/2017 10:40:03,0,0,123,0
02/23/2017 10:40:04,0,0,124,0
02/23/2017 10:40:05,0,0,125,0
02/23/2017 10:40:06,0,0,125,0
02/23/2017 10:40:07,0,0,126,0
02/23/2017 10:40:08,0,0,127,0
02/23/2017 10:40:09,0,0,128,0
02/23/2017 10:40:10,0,0,129,0
02/23/2017 10:40:11,0,0,130,0
02/23/2017 10:40:12,0,0,131,0
02/23/2017 10:40:13,0,0,131,0
02/23/2017 10:40:14,0,0,132,0
02/23/2017 10:40:15,0,0,133,0
02/23/2017 10:40:16,0,0,134,0
02/23/2017 10:40:17,0,0,135,0
02/23/2017 10:40:18,0,0,135,0
02/23/2017 10:40:19,0,0,135,0
02/23/2017 10:40:20,0,0,136,0
02/23/2017 10:40:21,0,0,135,0
02/23/2017 10:40:22,0,0,135,0
02/23/2017 10:40:23,0,0,134,0
02/23/2017 10:40:24,0,0,134,0
02/23/2017 10:40:25,0,0,134,0
02/23/2017 10:40:26,0,0,133,0
02/23/2017 10:40:27,0,0,133,0
02/23/2017 10:40:28,0,0,133,0
02/23/2017 10:40:29,0,0,133,0
02/23/2017 10:40:30,0,0,133,0
02/23/2017 10:40:31,0,0,134,0
02/23/2017 10:40:32,0,0,134,0
02/23/2017 10:40:33,0,0,134,0
02/23/2017 10:40:34,0,0,134,0
02/23/2017 10:40:35,0,0,135,0
02/23/2017 10:40:36,0,0,135,0
02/23/2017 10:40:37,0,0,135,0
02/23/2017 10:40:38,0,0,135,0
02/23/2017 10:40:39,0,0,135,0
02/23/2017 10:40:40,0,0,135,0
02/23/2017 10:40:41,0,0,135,0
02/23/2017 10:40:42,0,0,136,0
02/23/2017 10:40:43,0,0,136,0
02/23/2017 10:40:44,0,0,137,0
02/23/2017 10:40:45,0,0,137,0
02/23/2017 10:40:46,0,0,137,0
02/23/2017 10:40:47,0,0,138,0
02/23/2017 10:40:48,0,0,138,0
02/23/2017 10:40:49,0,0,138,0
02/23/2017 10:40:50,0,0,139,0
02/23/2017 10:40:51,0,0,139,0
02/23/2017 10:40:52,0,0,139,0
02/23/2017 10:40:53,0,0,139,0
02/23/2017 10:40:54,0,0,139,0
02/23/2017 10:40:55,0,0,139,0
02/23/2017 10:40:56,0,0,139,0
02/23/2017 10:40:57,0,0,139,0
02/23/2017 10:40:58,0,0,139,0
02/23/2017 10:40:59,0,0,140,0
02/23/2017 10:41:00,0,0,140,0
02/23/2017 10:41:01,0,0,141,0
02/23/2017 10:41:02,0,0,141,0
02/23/2017 10:41:03,0,0,141,0
02/23/2017 10:41:04,0,0,141,0
02/23/2017 10:41:05,0,0,140,0
02/23/2017 10:41:06,0,0,140,0
02/23/2017 10:41:07,0,0,139,0
02/23/2017 10:41:08,0,0,139,0
02/23/2017 10:41:09,0,0,139,0
02/23/2017 10:41:10,0,0,139,0
02/23/2017 10:41:11,0,0,138,0
02/23/2017 10:41:12,0,0,138,0
02/23/2017 10:41:13,0,0,138,0
02/23/2017 10:41:14,0,0,138,0
02/23/2017 10:41:15,0,0,139,0
02/23/2017 10:41:16,0,0,139,0
02/23/2017 10:41:17,0,0,140,0
02/23/2017 10:41:18,0,0,140,0
02/23/2017 10:41:19,0,0,141,0
02/23/2017 10:41:20,0,0,141,0
02/23/2017 10:41:21,0,0,142,0
02/23/2017 10:41:22,0,0,142,0
02/23/2017 10:41:23,0,0,143,0
02/23/2017 10:41:24,0,0,143,0
02/23/2017 10:41:25,0,0,143,0
02/23/2017 10:41:26,0,0,143,0
02/23/2017 10:41:27,0,0,143,0
02/23/2017 10:41:28,0,0,142,0
02/23/2017 10:41:29,0,0,142,0
02/23/2017 10:41:30,0,0,142,0
02/23/2017 10:41:31,0,0,141,0
02/23/2017 10:41:32,0,0,141,0
02/23/2017 10:41:33,0,0,141,0
02/23/2017 10:41:34,0,0,141,0
02/23/2017 10:41:35,0,0,141,0
02/23/2017 10:41:36,0,0,142,0
02/23/2017 10:41:37,0,0,142,0
02/23/2017 10:41:38,0,0,142,0
02/23/2017 10:41:39,0,0,143,0
02/23/2017 10:41:40,0,0,143,0
02/23/2017 10:41:41,0,0,144,0
02/23/2017 10:41:42,0,0,144,0
02/23/2017 10:41:43,0,0,145,0
02/23/2017 10:41:44,0,0,145,0
02/23/2017 10:41:45,0,0,145,0
02/23/2017 10:41:46,0,0,145,0
02/23/2017 10:41:47,0,0,145,0
02/23/2017 10:41:48,0,0,144,0
02/23/2017 10:41:49,0,0,143,0
02/23/2017 10:41:50,0,0,143,0
02/23/2017 10:41:51,0,0,142,0
02/23/2017 10:41:52,0,0,139,0
02/23/2017 10:41:53,0,0,136,0
02/23/2017 10:41:54,0,0,134,0
02/23/2017 10:41:55,0,0,133,0
02/23/2017 10:41:56,0,0,133,0
02/23/2017 10:41:57,0,0,132,0
02/23/2017 10:41:58,0,0,132,0
02/23/2017 10:41:59,0,0,132,0
02/23/2017 10:42:00,0,0,132,0
02/23/2017 10:42:01,0,0,131,0
02/23/2017 10:42:02,0,0,131,0
02/23/2017 10:42:03,0,0,130,0
02/23/2017 10:42:04,0,0,129,0
02/23/2017 10:42:05,0,0,129,0
02/23/2017 10:42:06,0,0,128,0
02/23/2017 10:42:07,0,0,127,0
02/23/2017 10:42:08,0,0,126,0
02/23/2017 10:42:09,0,0,125,0
02/23/2017 10:42:10,0,0,124,0
02/23/2017 10:42:11,0,0,124,0
02/23/2017 10:42:12,0,0,123,0
02/23/2017 10:42:13,0,0,122,0
02/23/2017 10:42:14,0,0,122,0
02/23/2017 10:42:15,0,0,120,0
02/23/2017 10:42:16,0,0,120,0
02/23/2017 10:42:17,0,0,119,0
02/23/2017 10:42:18,0,0,118,0
02/23/2017 10:42:19,0,0,117,0
02/23/2017 10:42:20,0,0,117,0
02/23/2017 10:42:21,0,0,117,0
02/23/2017 10:42:22,0,0,117,0
02/23/2017 10:42:23,0,0,117,0
02/23/2017 10:42:24,0,0,117,0
02/23/2017 10:42:25,0,0,116,0
02/23/2017 10:42:26,0,0,114,0
02/23/2017 10:42:27,0,0,113,0
02/23/2017 10:42:28,0,0,112,0
02/23/2017 10:42:29,0,0,112,0
02/23/2017 10:42:30,0,0,113,0
02/23/2017 10:42:31,0,0,112,0
02/23/2017 10:42:32,0,0,112,0
02/23/2017 10:42:33,0,0,111,0
02/23/2017 10:42:34,0,0,110,0
02/23/2017 10:42:35,0,0,109,0
02/23/2017 10:42:36,0,0,109,0
02/23/2017 10:42:37,0,0,109,0
02/23/2017 10:42:38,0,0,109,0
02/23/2017 10:42:39,0,0,108,0
02/23/2017 10:42:40,0,0,107,0
02/23/2017 10:42:41,0,0,107,0
02/23/2017 10:42:42,0,0,105,0
02/23/2017 10:42:43,0,0,105,0
02/23/2017 10:42:44,0,0,105,0
02/23/2017 10:42:45,0,0,106,0
02/23/2017 10:42:46,0,0,107,0
02/23/2017 10:42:47,0,0,107,0
02/23/2017 10:42:48,0,0,107,0
02/23/2017 10:42:49,0,0,107,0
02/23/2017 10:42:50,0,0,107,0
02/23/2017 10:42:51,0,0,107,0
02/23/2017 10:42:52,0,0,107,0
02/23/2017 10:42:53,0,0,107,0
02/23/2017 10:42:54,0,0,107,0
02/23/2017 10:42:55,0,0,106,0
02/23/2017 10:42:56,0,0,106,0
02/23/2017 10:42:57,0,0,106,0
02/23/2017 10:42:58,0,0,107,0
02/23/2017 10:42:59,0,0,108,0
02/23/2017 10:43:00,0,0,108,0
02/23/2017 10:43:01,0,0,108,0
02/23/2017 10:43:02,0,0,108,0
02/23/2017 10:43:03,0,0,108,0
02/23/2017 10:43:04,0,0,108,0
02/23/2017 10:43:05,0,0,109,0
02/23/2017 10:43:06,0,0,110,0
02/23/2017 10:43:07,0,0,110,0
02/23/2017 10:43:08,0,0,109,0
02/23/2017 10:43:09,0,0,109,0
02/23/2017 10:43:10,0,0,109,0
02/23/2017 10:43:11,0,0,108,0
02/23/2017 10:43:12,0,0,109,0
02/23/2017 10:43:13,0,0,109,0
02/23/2017 10:43:14,0,0,110,0
02/23/2017 10:43:15,0,0,110,0
02/23/2017 10:43:16,0,0,110,0
02/23/2017 10:43:17,0,0,109,0
02/23/2017 10:43:18,0,0,108,0
02/23/2017 10:43:19,0,0,107,0
02/23/2017 10:43:20,0,0,105,0
02/23/2017 10:43:21,0,0,105,0
02/23/2017 10:43:22,0,0,104,0
02/23/2017 10:43:23,0,0,104,0
02/23/2017 10:43:24,0,0,103,0
02/23/2017 10:43:25,0,0,102,0
02/23/2017 10:43:26,0,0,102,0
02/23/2017 10:43:27,0,0,103,0
02/23/2017 10:43:28,0,0,103,0
02/23/2017 10:43:29,0,0,103,0
02/23/2017 10:43:30,0,0,103,0
02/23/2017 10:43:31,0,0,102,0
02/23/2017 10:43:32,0,0,102,0
02/23/2017 10:43:33,0,0,99,0
02/23/2017 10:43:34,0,0,98,0
02/23/2017 10:43:35,0,0,96,0
02/23/2017 10:43:36,0,0,96,0
02/23/2017 10:43:37,0,0,96,0
02/23/2017 10:43:38,0,0,96,0
02/23/2017 10:43:39,0,0,96,0
02/23/2017 10:43:40,0,0,95,0
02/23/2017 10:43:41,0,0,95,0
02/23/2017 10:43:42,0,0,95,0
02/23/2017 10:43:43,0,0,95,0
02/23/2017 10:43:44,0,0,96,0
