0,758412,9780,4508,1146,373206042,9819,4508,1146,373206050,9819,4508,1146,373206058,12345,1487238624
0,758413,9819,4429,1107,373206066,9819,4429,1107,373206074,9858,4390,1107,373206082,12345,1487238624
9,381656,8373807,8362537,8373680,8362545,8373573,8362543,8373497,8362543,8373367,8362540,8373238,8362545,12345,1487238624
9,381657,8373150,8362545,8373030,8362541,8372940,8362539,8372803,8362543,8372703,8362544,8372648,8362543,12345,1487238624
9,381658,8372554,8362540,8372468,8362544,8372426,8362545,8372364,8362541,8372336,8362537,8372263,8362543,12345,1487238624
9,381659,8372224,8362544,8372227,8362539,8372191,8362539,8372154,8362542,8372167,8362545,8372152,8362542,12345,1487238624
982,0,373304131,373304131,0,32,12345,12345,12345,12345,12345,12345,12345,12345,12345,1487238624
0,758414,-7987,14935,7830,373303883,-7604,17924,10927,373303891,-6223,23039,13524,373303899,12345,1487238624
0,758415,-3508,28390,16581,373303907,646,29772,18228,373303915,4008,30840,19374,373303923,12345,1487238624
0,758416,7183,31791,19903,373303931,10280,31066,19492,373303939,11877,27861,17542,373303947,12345,1487238624
0,758417,12573,27900,17424,373303955,12152,27018,16052,373303963,10927,24343,14170,373303971,12345,1487238624
0,758418,10348,22353,13445,373303979,10280,20060,12642,373303987,9937,17728,12034,373303995,12345,1487238624
0,758419,9241,15591,11083,373304003,8437,13827,10123,373304011,7712,12612,8976,373304019,12345,1487238624
0,758420,7261,11730,7369,373304027,7065,10731,5458,373304035,6987,9515,3586,373304043,12345,1487238624
0,758421,6879,8173,1911,373304051,6840,6948,950,373304059,7408,5693,0,373304067,12345,1487238624
0,758422,7144,3586,-1597,373304075,7144,2440,-1675,373304083,7105,950,-2479,373304091,12345,1487238624
0,758423,6801,-68,-2979,373304099,6458,-1215,-3822,373304107,5880,-2401,-4890,373304115,12345,1487238624
9,381660,7163,8383272,8385895,8379695,8387986,8376721,1015,8374267,2392,8372240,3579,8370562,12345,1487238624
9,381661,4525,8369168,5265,8368018,5863,8367071,6365,8366283,6805,8365632,7056,8365097,12345,1487238624
9,381662,7275,8364658,7487,8364292,7610,8363984,7665,8363735,7694,8363535,7733,8363365,12345,1487238624
9,381663,7800,8363226,7758,8363107,7747,8363019,7787,8362938,7780,8362870,7740,8362817,12345,1487238624
0,758424,5272,-3400,-5458,373304123,4733,-3822,-5654,373304131,10809,7487,2401,373304139,12345,1487238624
0,758425,12838,11809,4929,373304147,15131,16846,6262,373304155,16581,21550,9319,373304163,12345,1487238624
0,758426,16963,24186,11573,373304171,17385,27283,13563,373304179,18375,28929,14288,373304187,12345,1487238624
0,758427,18953,29615,15288,373304195,17806,29733,14788,373304203,15317,29919,13759,373304211,12345,1487238624
0,758428,13024,29537,12642,373304219,11230,27783,11769,373304227,9702,25607,11005,373304235,12345,1487238624
0,758429,8173,23539,10319,373304243,6605,22618,10701,373304251,5458,21128,9437,373304259,12345,1487238624
0,758430,3890,18345,8055,373304267,2518,16542,7791,373304275,1411,15974,7330,373304283,12345,1487238624
0,758431,686,15209,6497,373304291,0,14670,5654,373304299,-568,14210,4655,373304307,12345,1487238624
9,381664,7702,8362774,7685,8362740,7704,8362703,7625,8362682,7585,8362658,7596,8362643,12345,1487238624
9,381665,7548,8362628,7458,8362613,7360,8362612,7276,8362602,7223,8362589,7064,8362583,12345,1487238624
9,381666,6939,8362586,6868,8362575,6757,8362576,6618,8362566,6484,8362573,6368,8362568,12345,1487238624
9,381667,6290,8362563,6101,8362566,5937,8362572,5810,8362567,5632,8362563,5418,8362558,12345,1487238624
0,758432,-1411,13524,3626,373304315,-2361,12612,2861,373304323,-3508,11466,2322,373304331,12345,1487238624
0,758433,-4772,10348,2018,373304339,-6076,9280,1871,373304347,-7330,8369,1832,373304355,12345,1487238624
0,758434,-8437,7565,1754,373304363,-9359,7291,1754,373304371,-10162,7408,1793,373304379,12345,1487238624
0,758435,-10887,7261,1715,373304387,-11613,7144,1528,373304395,-12299,6801,1176,373304403,12345,1487238624
0,758436,-13024,6497,833,373304411,-13602,5997,686,373304419,-13827,5233,382,373304427,12345,1487238624
0,758437,-13788,4547,382,373304435,-13298,4312,725,373304443,-12299,4390,1215,373304451,12345,1487238624
0,758438,-11044,4968,1489,373304459,-9662,5880,1911,373304467,-8369,6909,2597,373304475,12345,1487238624
0,758439,-7144,8026,3018,373304483,-5880,9319,3361,373304491,-4811,10662,3626,373304499,12345,1487238624
9,381668,5201,8362564,5004,8362563,4846,8362557,4590,8362557,4357,8362560,4173,8362567,12345,1487238624
9,381669,3943,8362562,3691,8362554,3459,8362562,3261,8362561,3126,8362561,2915,8362559,12345,1487238624
9,381670,2753,8362559,2659,8362560,2532,8362561,2393,8362556,2273,8362562,2190,8362560,12345,1487238624
9,381671,2165,8362559,2056,8362560,1993,8362558,1998,8362562,1972,8362556,1931,8362554,12345,1487238624
0,758440,-4233,12495,4125,373304507,-4125,15248,5272,373304515,-4429,20139,7026,373304523,12345,1487238624
0,758441,-3743,25568,8751,373304531,-1871,30605,9819,373304539,989,33702,10241,373304547,12345,1487238624
0,758442,3969,36113,11956,373304555,7448,37259,12642,373304563,9662,38406,13259,373304571,12345,1487238624
0,758443,11426,39856,13298,373304579,12720,40317,12612,373304587,13377,40199,12455,373304595,12345,1487238624
0,758444,14170,37759,12152,373304603,15131,33976,11534,373304611,15699,30076,10662,373304619,12345,1487238624
0,758445,15395,25793,9623,373304627,14406,21285,7947,373304635,13102,16464,5919,373304643,12345,1487238624
